,State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Literacy_rate
157,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,2521,0.7874146817718045
158,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,1196,0.5916036168199332
159,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,8053,0.7632998361008559
160,Himachal Pradesh,Kinnaur,31.606671840659327,78.51613736263741,34,84121,354,0.7215677417054005
161,Himachal Pradesh,Kullu,31.909119220779253,77.40922649350647,26,437903,2623,0.7026030878984615
162,Himachal Pradesh,Mandi,31.63580594059405,76.96556930693067,27,999777,5333,0.7239084315802424
163,Himachal Pradesh,Shimla,31.15572545180725,77.62573042168668,33,814010,9177,0.7526222036584317
164,Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507494,32,529855,2220,0.6844230968849968
165,Himachal Pradesh,Solan,31.038643119266037,76.94442140672783,31,580320,5250,0.7385201268265784
166,Himachal Pradesh,Una,31.58330388349513,76.18353932038835,29,521173,2412,0.766952624176617
167,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,596,0.5344322040513642
168,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,19905,0.7432458930245144
169,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,235,0.6124628911521143
170,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601405,7,616435,1443,0.631378815284661
171,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,1537,0.524512882734994
172,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,346,0.5488774943114495
173,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420287,10,1236829,16413,0.6052445406761969
174,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,1214,0.5808337162265647
175,Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,9754,0.6175151406418953
176,Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,590,0.48908605542695943
177,Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,1944,0.5318359088328788
178,Jharkhand,Dhanbad,23.854509090909094,86.40372924901185,354,2684487,11568,0.6415393332133849
179,Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,1193,0.5088448830898367
180,Jharkhand,Garhwa,24.082114689265534,83.68664265536722,346,1322784,565,0.49401565183733703
181,Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1944,0.5125693423851573
182,Jharkhand,Godda,24.8189,87.29417354838709,351,1313551,874,0.4602173802159185
183,Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,831,0.545954840603855
184,Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,808,0.5389246083014555
185,Jharkhand,Latehar,23.72511185840708,84.48298743362838,359,726978,340,0.4823832358063105
186,Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,351,0.5623919963619827
187,Jharkhand,Pakur,24.572604280821892,87.69691969178076,353,900422,328,0.3919062395188034
188,Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,2155,0.5281609222066026
189,Jharkhand,Ranchi,23.18423506139155,85.31781937244203,364,2914253,22538,0.6558912352496507
190,Jharkhand,Sahibganj,24.93667989690721,87.68264097938143,352,1150567,591,0.42002160673824296
191,Jharkhand,Simdega,22.60876039119805,84.59193691931536,367,599578,423,0.5728745884605506
192,Karnataka,Bagalkot,16.15860676328503,75.64526070853469,556,1889752,3745,0.589184189248113
193,Karnataka,Bangalore Rural,12.936827087794446,77.47369314775169,583,990923,3729,0.6950580418458346
